sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
EU771767.1.1388	7	0.081458	GCF_011881725.1
EU771770.1.1360	1	0.107032	GCA_900542275.1
EU771788.1.1412	1	0.134363	GCA_900551245.1
EU771790.1.1373	1	0.135137	GCA_002841545.1
EU771800.1.1389	1	0.107121	GCA_000285855.2
EU771811.1.1393	1	0.137708	GCA_934309345.1
EU771847.1.1390	1	0.107743	GCA_025149785.1
EU771865.1.1260	2	0.109613	GCF_000296445.1
EU771874.1.1278	5	0.067965	GCF_009767585.1
EU771897.1.1262	1	0.167738	GCF_013300725.1
EU771898.1.1397	1	0.090507	GCF_900106755.1
EU771905.1.1394	1	0.115704	GCF_900103815.1
EU771909.1.1402	2	0.0863	GCF_000012845.1
EU771914.1.1357	1	0.139763	GCF_009696065.1
EU771919.1.1284	1	0.13365	GCA_021770095.1
EU771925.1.1299	1	0.079931	GCA_910583925.1
EU771927.1.1351	1	0.179564	GCF_003458715.1
EU771942.1.1343	5	0.107637	GCF_014287515.2
EU771949.1.1390	1	0.048254	GCF_014290175.1
EU771950.1.1285	1	0.04904	GCF_003287405.1
EU771952.1.1372	2	0.109613	GCF_000296445.1
EU771954.1.1391	1	0.130139	GCA_902363665.1
EU771963.1.1364	5	0.189194	GCF_009767585.1
EU771973.1.1368	1	0.112147	GCA_902381685.1
EU772029.1.1382	1	0.167104	GCF_018622995.1
EU772043.1.1400	1	0.137111	GCF_015140235.1
EU772059.1.1391	1	0.122798	GCF_018918185.1
EU772158.1.1391	1	0.18989	GCF_018918095.1
EU772172.1.1405	1	0.125949	GCF_008831305.1
EU772175.1.1387	1	0.204898	GCA_900767815.1
EU772231.1.1379	1	0.235313	GCF_001262605.1
EU772280.1.1216	3	0.127043	GCA_900769075.1
EU772292.1.1391	1	0.11516	GCA_020859985.1
EU772297.1.1385	1	0.193799	GCA_002841545.1
EU772321.1.1393	1	0.177967	GCF_014281125.1
EU772329.1.1373	1	0.163898	GCA_900751685.1
EU772341.1.1387	1	0.307939	GCF_016901775.1
EU772357.1.1394	1	0.332132	GCA_021779665.1
EU772359.1.1382	1	0.11516	GCA_020859985.1
EU772383.1.1348	1	0.111892	GCF_009676955.1
EU772387.1.1394	1	0.142348	GCA_010206265.1
EU772388.1.1232	1	0.12293	GCA_002841545.1
EU772396.1.1287	3	0.117824	GCF_018326305.1
EU772397.1.1238	1	0.081206	GCA_902765005.1
EU772410.1.1384	1	0.079084	GCF_014385065.1
EU772412.1.1305	1	0.11403	GCA_002438635.1
EU772426.1.1406	3	0.1939	GCA_900199405.1
EU772432.1.1391	1	0.204872	GCA_900751685.1
EU772438.1.1251	1	0.111892	GCF_009676955.1
EU772439.1.1399	3	0.112445	GCA_900199405.1
EU772440.1.1393	1	0.11403	GCA_002438635.1
EU772454.1.1347	3	0.166875	GCA_018228685.1
EU772468.1.1281	1	0.142997	GCA_001512765.1
EU772473.1.1310	1	0.111892	GCF_009676955.1
EU772474.1.1295	1	0.11516	GCA_020859985.1
EU772491.1.1390	1	0.10994	GCA_916988195.3
EU772494.1.1283	1	0.107337	GCA_902362435.1
EU772516.1.1285	1	0.114685	GCA_025150425.1
EU772524.1.1387	1	0.155792	GCF_015140235.1
EU772528.1.1373	1	0.130274	GCF_003574295.1
EU772543.1.1287	1	0.136602	GCA_900315985.1
EU772545.1.1353	1	0.130921	GCA_934504065.1
EU772558.1.1273	6	0.034446	GCF_900456775.1
EU772576.1.1202	1	0.093477	GCF_024499055.1
EU772602.1.1240	1	0.110075	GCF_014237865.1
EU772607.1.1332	1	0.110075	GCF_014237865.1
EU772642.1.1287	1	0.108019	GCF_002222595.2
EU772650.1.1335	1	0.029667	GCA_902363515.1
EU772665.1.1358	1	0.117948	GCF_001517625.2
EU772669.1.1293	1	0.305136	GCF_008121495.1
EU772672.1.1372	1	0.033631	GCF_024506395.1
EU772683.1.1391	1	0.112147	GCA_902381685.1
EU772697.1.1274	2	0.075794	GCF_003479805.1
EU772719.1.1374	1	0.118913	GCA_902363515.1
EU772735.1.1293	1	0.068811	GCA_021531865.1
EU772751.1.1338	2	0.109279	GCF_000797495.1
EU772784.1.1284	1	0.11516	GCA_020859985.1
EU772806.1.1323	2	0.43348	GCA_905197905.1
EU772812.1.1371	1	0.08749	GCF_014982855.1
EU772819.1.1318	7	0.086056	GCF_000384195.1
EU772826.1.1230	1	0.082733	GCF_008121495.1
EU772853.1.1313	1	0.11516	GCA_020859985.1
EU772858.1.1288	1	0.224791	GCF_009696065.1
EU772874.1.1379	1	0.118433	GCF_020554865.1
EU772886.1.1397	1	0.110436	GCA_025147325.1
EU772917.1.1361	1	0.10629	GCA_021531615.1
EU772923.1.1378	1	0.119509	GCF_900148495.1
EU772927.1.1267	1	0.045772	GCA_021531615.1
EU772932.1.1290	3	0.147102	GCF_900637395.1
EU772933.1.1288	6	0.164989	GCF_000013285.1
EU772937.1.1344	1	0.072528	GCF_002161285.1
EU772974.1.1390	1	0.112147	GCA_902381685.1
EU772975.1.1380	1	0.109182	GCF_000382445.1
EU773007.1.1247	1	0.144014	GCA_023459495.1
EU773119.1.1389	2	0.156135	GCF_021531495.1
EU773177.1.1384	5	0.11108	GCA_018223375.1
EU773218.1.1385	1	0.115705	GCA_900542245.1
EU773287.1.1310	1	0.033781	GCA_900759985.1
EU773328.1.1395	1	0.123907	GCA_014385105.1
EU773330.1.1399	8	0.077772	GCF_000195575.1
EU773342.1.1377	1	0.226152	GCF_014982855.1
EU773345.1.1375	1	0.017348	GCF_015550425.1
EU773366.1.1298	1	0.166341	GCF_009602535.1
EU773376.1.1294	1	0.166341	GCF_009602535.1
EU773405.1.1372	1	0.112898	GCF_003416765.1
EU773406.1.1296	1	0.115349	GCF_015140235.1
EU773412.1.1367	1	0.113823	GCF_014384895.1
EU773416.1.1362	1	0.107032	GCA_900542275.1
EU773420.1.1389	1	0.068196	GCF_014297355.1
EU773440.1.1378	1	0.126306	GCF_002160895.1
EU773443.1.1390	1	0.039664	GCA_025148125.1
EU773445.1.1310	1	0.262072	GCF_003458715.1
EU773450.1.1282	1	0.194214	GCF_003475325.1
EU773453.1.1296	1	0.170304	GCF_015557635.1
EU773458.1.1402	6	0.106801	GCA_025151535.1
EU773464.1.1387	1	0.117167	GCA_025148285.1
EU773465.1.1369	1	0.096368	GCF_002159625.1
EU773469.1.1387	1	0.179479	GCF_003966955.1
EU773475.1.1370	1	0.112679	GCF_003287495.1
EU773481.1.1403	1	0.031298	GCF_004535825.1
EU773483.1.1377	1	0.11001	GCF_019734885.1
EU773484.1.1362	1	0.039356	GCF_003471165.1
EU773496.1.1403	1	0.019484	GCF_004535825.1
EU773500.1.1402	1	0.142997	GCA_001512765.1
EU773506.1.1392	1	0.107743	GCA_025149785.1
EU773523.1.1302	1	0.22665	GCF_018784445.1
EU773525.1.1349	1	0.122485	GCF_018789675.1
EU773535.1.1309	1	0.165637	GCA_900155405.1
EU773551.1.1370	1	0.046918	GCA_900765565.1
EU773554.1.1318	3	0.121634	GCA_004557655.1
EU773558.1.1348	6	0.033862	GCF_015074785.1
EU773563.1.1348	1	0.035858	GCF_015074785.1
EU773564.1.1345	1	0.13334	GCF_009494395.1
EU773576.1.1339	1	0.082772	GCA_018223365.1
EU773579.1.1362	1	0.194805	GCA_000513555.1
EU773580.1.1360	2	0.205298	GCF_003010495.1
EU773581.1.1368	1	0.346662	GCF_003367905.1
EU773740.1.1375	1	0.10994	GCA_916988195.3
EU773759.1.1417	1	0.069963	GCF_005405365.1
EU773775.1.1373	6	0.091305	GCF_000013285.1
EU773810.1.1287	3	0.210079	GCF_008151785.1
EU773820.1.1432	1	0.112485	GCF_905332535.1
EU773852.1.1378	1	0.113827	GCF_000498355.1
EU773863.1.1287	1	0.115813	GCA_020540725.1
EU773877.1.1291	1	0.109514	GCF_000799075.1
EU773903.1.1389	1	0.109564	GCA_902363515.1
EU773908.1.1284	1	0.28991	GCA_916988195.3
EU773952.1.1367	1	0.036121	GCA_021531615.1
EU773965.1.1389	1	0.216303	GCF_013304825.1
EU774049.1.1378	1	0.145579	GCF_003287455.1
EU774052.1.1370	2	0.147576	GCF_023347255.1
EU774056.1.1269	4	0.212052	GCF_012922555.1
EU774060.1.1383	4	0.134306	GCA_023409535.1
EU774064.1.1352	1	0.113063	GCF_003460605.1
EU774065.1.1367	1	0.106338	GCF_004535825.1
EU774068.1.1354	1	0.111034	GCF_013304735.1
EU774085.1.1377	1	0.130384	GCF_018784445.1
EU774090.1.1259	1	0.113531	GCF_016901605.1
EU774096.1.1364	1	0.11516	GCA_020859985.1
EU774102.1.1348	1	0.04199	GCF_003287405.1
EU774103.1.1371	1	0.082841	GCF_001487165.1
EU774109.1.1344	1	0.026309	GCA_000285855.2
EU774116.1.1366	1	0.13131	GCA_902362965.1
EU774120.1.1373	1	0.130139	GCA_902363665.1
EU774123.1.1361	6	0.127626	GCF_015074785.1
EU774126.1.1393	1	0.155792	GCF_015140235.1
EU774127.1.1339	1	0.107743	GCA_025149785.1
EU774130.1.1390	1	0.082937	GCF_000173975.1
EU774135.1.1272	1	0.121621	GCF_018789675.1
EU774137.1.1386	1	0.106338	GCF_004535825.1
EU774139.1.1383	1	0.12205	GCA_000403335.2
EU774140.1.1374	1	0.2107	GCA_002841545.1
EU774141.1.1367	6	0.106801	GCA_025151535.1
EU774147.1.1379	1	0.119172	GCA_004557565.1
EU774152.1.1342	1	0.142796	GCF_003287455.1
EU774170.1.1260	1	0.042829	GCA_934101595.1
EU774173.1.1372	1	0.125514	GCA_944391805.1
EU774174.1.1389	8	0.043406	GCA_025148785.1
EU774179.1.1275	1	0.107121	GCA_000285855.2
EU774182.1.1374	1	0.139482	GCA_000701945.1
EU774184.1.1387	1	0.107171	GCF_000188175.1
EU774186.1.1390	1	0.065371	GCA_000285855.2
EU774190.1.1279	1	0.200641	GCF_900240265.1
EU774193.1.1245	1	0.107171	GCF_000188175.1
EU774195.1.1268	1	0.129785	GCA_902363135.1
EU774196.1.1387	3	0.134297	GCF_018408575.1
EU774201.1.1264	1	0.121461	GCA_025150425.1
EU774211.1.1284	1	0.107171	GCF_000188175.1
EU774215.1.1355	1	0.10994	GCA_916988195.3
EU774219.1.1378	5	0.178188	GCF_018918345.1
EU774227.1.1303	1	0.059684	GCF_900167025.1
EU774229.1.1369	1	0.268666	GCA_900751685.1
EU774232.1.1291	1	0.108801	GCA_900547775.1
EU774239.1.1288	1	0.254976	GCA_910583925.1
EU774245.1.1297	1	0.146627	GCA_902780585.1
EU774261.1.1283	1	0.11516	GCA_020859985.1
EU774263.1.1289	1	0.04768	GCF_009494395.1
EU774264.1.1363	1	0.172757	GCF_019052365.1
EU774276.1.1390	1	0.041874	GCA_000285855.2
EU774279.1.1349	1	0.024047	GCF_015557635.1
EU774280.1.1366	6	0.106801	GCA_025151535.1
EU774291.1.1379	1	0.136602	GCA_900315985.1
EU774294.1.1261	1	0.11516	GCA_020859985.1
EU774295.1.1394	1	0.1074	GCF_014287435.1
EU774298.1.1291	4	0.134306	GCA_023409535.1
EU774309.1.1402	6	0.06091	GCF_015074785.1
EU774310.1.1373	1	0.111693	GCF_014287815.1
EU774312.1.1367	1	0.077981	GCF_002251295.1
EU774313.1.1343	1	0.142997	GCA_001512765.1
EU774315.1.1288	1	0.160988	GCF_013304385.1
EU774320.1.1378	1	0.111045	GCF_004535825.1
EU774322.1.1249	1	0.167053	GCF_900095865.1
EU774323.1.1357	1	0.022142	GCA_025148125.1
EU774328.1.1288	1	0.077343	GCA_021029595.1
EU774329.1.1381	1	0.175197	GCF_018784445.1
EU774331.1.1277	1	0.130239	GCA_000285855.2
EU774340.1.1274	1	0.230271	GCA_910575775.1
EU774341.1.1313	1	0.107171	GCF_000188175.1
EU774344.1.1258	1	0.093874	GCF_018917965.1
EU774345.1.1370	1	0.167481	GCF_013304385.1
EU774346.1.1337	1	0.114685	GCA_025150425.1
EU774348.1.1286	1	0.162979	GCF_015555905.1
EU774350.1.1258	1	0.106718	GCF_014297285.1
EU774353.1.1273	1	0.11001	GCF_019734885.1
EU774362.1.1381	1	0.135309	GCA_021029595.1
EU774369.1.1254	1	0.116005	GCA_900103495.1
EU774378.1.1381	1	0.18989	GCF_018918095.1
EU774380.1.1385	1	0.125514	GCA_944391805.1
EU774385.1.1405	1	0.163224	GCA_002477945.1
EU774387.1.1267	1	0.225459	GCF_900095865.1
EU774407.1.1398	1	0.077296	GCF_900115635.1
EU774446.1.1386	1	0.264492	GCA_023458035.1
EU774448.1.1291	1	0.210189	GCF_000820765.1
EU774451.1.1290	3	0.126942	GCA_017569285.1
EU774454.1.1403	1	0.222073	GCA_910575615.1
EU774459.1.1287	1	0.30189	GCF_900240315.1
EU774468.1.1406	1	0.216317	GCA_910575615.1
EU774470.1.1372	1	0.130275	GCF_001458595.1
EU774472.1.1324	1	0.08487	GCA_025147485.1
EU774475.1.1397	3	0.222285	GCA_900199405.1
EU774481.1.1285	1	0.115645	GCA_910583925.1
EU774483.1.1281	4	0.115998	GCF_000723465.1
EU774491.1.1289	1	0.122209	GCA_010206265.1
EU774496.1.1384	2	0.069102	GCF_900167415.1
EU774505.1.1241	1	0.120385	GCA_016286585.1
EU774531.1.1284	3	0.091713	GCA_018228685.1
EU774616.1.1388	1	0.113063	GCF_003460605.1
EU774619.1.1204	14	0.098553	GCF_900106845.1
EU774628.1.1362	1	0.086563	GCA_000403495.2
EU774644.1.1391	3	0.192663	GCA_025149915.1
EU774655.1.1246	1	0.122479	GCA_916988195.3
EU774667.1.1394	1	0.10994	GCA_916988195.3
EU774671.1.1205	1	0.18989	GCF_018918095.1
EU774672.1.1388	1	0.19606	GCA_016287765.1
EU774676.1.1392	1	0.279754	GCF_001262605.1
EU774685.1.1373	1	0.185041	GCA_000875945.1
EU774697.1.1315	1	0.11516	GCA_020859985.1
EU774742.1.1374	3	0.133098	GCA_023395615.1
EU774765.1.1436	1	0.039657	GCF_001436025.1
EU774780.1.1405	1	0.119172	GCA_004557565.1
EU774793.1.1400	1	0.111892	GCF_009676955.1
EU774799.1.1384	2	0.112675	GCA_018223435.1
EU774803.1.1354	1	0.124897	GCA_902765005.1
EU774810.1.1366	1	0.11516	GCA_020859985.1
EU774820.1.1375	1	0.12205	GCA_000403335.2
EU774880.1.1320	1	0.123305	GCF_014634805.1
EU774883.1.1317	1	0.107627	GCF_003946305.1
EU774906.1.1317	1	0.284998	GCF_001936335.1
EU774932.1.1388	1	0.034233	GCF_000765235.1
EU774933.1.1397	1	0.142997	GCA_001512765.1
EU774957.1.1292	1	0.384264	GCA_025148445.1
EU774968.1.1393	1	0.091535	GCF_000765235.1
EU774976.1.1402	1	0.039104	GCF_004535825.1
EU774979.1.1284	3	0.155825	GCF_012922555.1
EU774981.1.1368	1	0.049924	GCA_000701945.1
EU774989.1.1390	1	0.098705	GCF_007858365.1
EU774995.1.1390	3	0.195269	GCA_900199405.1
EU775000.1.1401	2	0.110248	GCF_900155425.1
EU775002.1.1308	3	0.121634	GCA_004557655.1
EU775003.1.1274	1	0.110644	GCF_002251365.1
EU775015.1.1345	1	0.174761	GCA_025148445.1
EU775037.1.1380	1	0.170813	GCA_000473305.1
EU775041.1.1395	1	0.110584	GCF_000614185.1
EU775051.1.1408	1	0.091744	GCA_025147485.1
EU775052.1.1373	1	0.10994	GCA_916988195.3
EU775066.1.1392	1	0.145256	GCA_015068345.1
EU775070.1.1411	1	0.062142	GCF_009696265.1
EU775079.1.1395	1	0.204956	GCF_018918095.1
EU775084.1.1388	1	0.125514	GCA_944391805.1
EU775099.1.1394	3	0.111387	GCA_018228685.1
EU775105.1.1390	1	0.154928	GCA_910583925.1
EU775107.1.1392	3	0.126942	GCA_017569285.1
EU775118.1.1305	1	0.072896	GCA_905199855.1
EU775127.1.1320	1	0.103974	GCA_902784545.1
EU775140.1.1282	3	0.066823	GCF_018408575.1
EU775142.1.1378	1	0.02619	GCA_004557645.1
EU775152.1.1327	1	0.11516	GCA_020859985.1
EU775170.1.1397	2	0.154406	GCF_000012845.1
EU775205.1.1295	3	0.028245	GCA_900769075.1
EU775251.1.1362	14	0.040305	GCF_900106845.1
EU775287.1.1368	1	0.167504	GCA_021201755.1
EU775293.1.1285	1	0.126249	GCA_000753455.2
EU775310.1.1292	5	0.083077	GCF_002735305.1
EU775323.1.1370	1	0.119509	GCF_900148495.1
EU775341.1.1360	3	0.063732	GCA_900604495.1
EU775348.1.1320	1	0.037449	GCF_000173975.1
EU775368.1.1348	3	0.182332	GCA_000687975.1
EU775386.1.1371	1	0.109562	GCF_900209925.1
EU775391.1.1335	1	0.150874	GCA_013377075.1
EU775392.1.1404	1	0.114322	GCA_002841545.1
EU775395.1.1402	1	0.136602	GCA_900315985.1
EU775402.1.1422	1	0.107994	GCA_900543165.1
EU775404.1.1398	1	0.119172	GCA_004557565.1
EU775417.1.1301	1	0.078877	GCA_900751685.1
EU775419.1.1366	3	0.111387	GCA_018228685.1
EU775432.1.1389	1	0.044534	GCF_003461245.1
EU775438.1.1388	1	0.11516	GCA_020859985.1
EU775439.1.1379	1	0.11001	GCF_019734885.1
EU775440.1.1349	1	0.065998	GCF_003436425.1
EU775443.1.1333	1	0.106718	GCF_014297285.1
EU775446.1.1344	1	0.032763	GCF_009495355.1
EU775455.1.1215	1	0.065454	GCF_016461705.1
EU775456.1.1391	1	0.113	GCA_025150245.1
EU775457.1.1377	1	0.130139	GCA_902363665.1
EU775460.1.1390	1	0.127551	GCF_002161065.1
EU775469.1.1374	1	0.183232	GCA_910583925.1
EU775476.1.1386	1	0.11516	GCA_020859985.1
EU775505.1.1375	1	0.135137	GCA_002841545.1
EU775506.1.1389	1	0.109646	GCF_001404655.1
EU775515.1.1388	1	0.10994	GCA_916988195.3
EU775521.1.1367	1	0.10669	GCA_934636245.1
EU775530.1.1384	1	0.13873	GCF_003477705.1
EU775534.1.1336	1	0.135122	GCA_009774765.1
EU775539.1.1386	1	0.085666	GCF_018784445.1
EU775541.1.1293	1	0.090553	GCA_001604135.1
EU775547.1.1388	1	0.064873	GCF_000173975.1
EU775591.1.1273	1	0.137924	GCF_012277075.1
EU775592.1.1397	1	0.044253	GCF_004353185.1
EU775594.1.1382	1	0.049768	GCF_004353185.1
EU775597.1.1351	1	0.17874	GCF_000577815.1
EU775601.1.1268	1	0.355669	GCF_002285495.1
EU775611.1.1397	8	0.172145	GCF_000828055.2
EU775615.1.1257	3	0.155825	GCF_012922555.1
EU775618.1.1381	1	0.195954	GCF_001282685.1
EU775621.1.1284	6	0.123196	GCF_001403635.1
EU775629.1.1226	1	0.147582	GCF_024499055.1
EU775636.1.1373	1	0.023859	GCF_000320405.1
EU775640.1.1374	1	0.051888	GCF_019734195.1
EU775649.1.1224	9	0.074987	GCF_024499055.1
EU775667.1.1374	1	0.111057	GCF_000808015.1
EU775669.1.1323	1	0.079454	GCF_004353185.1
EU775673.1.1399	1	0.110075	GCF_014237865.1
EU775680.1.1416	1	0.122615	GCF_018917525.1
EU775688.1.1371	1	0.046706	GCF_001405015.1
EU775698.1.1374	1	0.136792	GCF_002285495.1
EU775721.1.1310	1	0.095089	GCF_019734195.1
EU775738.1.1330	1	0.070084	GCF_014385065.1
EU775806.1.1255	1	0.109673	GCF_013304385.1
EU775855.1.1238	3	0.076855	GCA_017569285.1
EU775873.1.1269	1	0.137766	GCA_944364615.1
EU775934.1.1292	3	0.22436	GCA_900199405.1
EU775963.1.1406	2	0.18827	GCA_012027035.1
EU775987.1.1366	3	0.121634	GCA_004557655.1
EU775997.1.1385	1	0.115324	GCF_009936045.1
EU776012.1.1402	1	0.18162	GCF_014647315.1
EU776025.1.1313	1	0.129103	GCA_021768245.1
EU776037.1.1290	3	0.284879	GCA_900199405.1
EU776086.1.1349	1	0.109564	GCA_902363515.1
EU776096.1.1390	1	0.09397	GCA_003481005.1
EU776098.1.1288	1	0.215698	GCA_910575625.1
EU776134.1.1388	1	0.113063	GCF_003460605.1
EU776137.1.1390	1	0.154316	GCF_002159835.1
EU776154.1.1278	3	0.312686	GCA_900199405.1
EU776172.1.1288	5	0.231533	GCF_020736365.1
EU776178.1.1293	1	0.052927	GCA_902363515.1
EU776209.1.1388	1	0.017688	GCF_900240315.1
EU776269.1.1279	1	0.178182	GCF_014384885.1
EU776293.1.1376	1	0.27358	GCA_018223385.1
EU776304.1.1293	3	0.355324	GCA_017569285.1
EU776311.1.1398	3	0.245591	GCA_022009755.1
EU776344.1.1388	1	0.119774	GCF_000686125.1
EU776350.1.1293	1	0.084979	GCA_900751685.1
EU776373.1.1285	1	0.186081	GCA_015067305.1
EU776389.1.1341	1	0.063259	GCF_900176035.1
EU776391.1.1397	1	0.27478	GCA_945874155.1
EU776412.1.1391	1	0.163898	GCA_900751685.1
EU776426.1.1287	1	0.220041	GCA_002841545.1
EU776445.1.1267	1	0.204428	GCA_900769475.1
EU776451.1.1368	1	0.122479	GCA_916988195.3
EU776456.1.1284	1	0.186262	GCA_904419955.1
EU776476.1.1397	3	0.112445	GCA_900199405.1
EU776484.1.1391	1	0.104131	GCF_000686125.1
EU776486.1.1300	1	0.13065	GCA_004557645.1
EU776509.1.1253	1	0.16319	GCA_002270465.1
EU776517.1.1350	1	0.051633	GCF_002222595.2
EU776524.1.1264	6	0.237475	GCF_000013285.1
EU776534.1.1214	10	0.020246	GCF_008151785.1
EU776550.1.1288	1	0.112111	GCF_008121495.1
EU776572.1.1382	1	0.285452	GCA_910577745.1
EU776581.1.1287	1	0.169191	GCA_002270465.1
EU776636.1.1359	1	0.078412	GCF_015751045.1
EU776639.1.1388	1	0.101798	GCF_014385005.1
EU776649.1.1257	1	0.108017	GCF_002953655.1
EU776654.1.1369	1	0.146171	GCF_013304825.1
EU776675.1.1205	6	0.114481	GCF_000013285.1
EU776676.1.1272	6	0.057932	GCF_000013285.1
EU776680.1.1401	1	0.10983	GCA_004017275.1
EU776718.1.1389	1	0.264492	GCA_023458035.1
EU776743.1.1296	1	0.141193	GCA_002841545.1
EU776762.1.1346	8	0.101814	GCA_025148785.1
EU776763.1.1393	5	0.105873	GCF_002735305.1
EU776772.1.1373	1	0.185041	GCA_000875945.1
EU776776.1.1317	1	0.431884	GCF_014982805.1
EU776781.1.1357	1	0.072556	GCF_900106785.1
EU776784.1.1400	6	0.106801	GCA_025151535.1
EU776785.1.1387	1	0.178809	GCF_016901775.1
EU776793.1.1287	1	0.179549	GCF_004216775.1
EU776797.1.1402	1	0.05816	GCF_004535825.1
EU776804.1.1366	1	0.114077	GCF_010509575.1
EU776814.1.1373	1	0.10994	GCA_916988195.3
EU776823.1.1343	1	0.10994	GCA_916988195.3
EU776833.1.1374	1	0.185041	GCA_000875945.1
EU776836.1.1286	1	0.047698	GCF_014982805.1
EU776838.1.1341	1	0.10994	GCA_916988195.3
EU776841.1.1363	1	0.031636	GCF_900167205.1
EU776846.1.1406	6	0.031732	GCF_015074785.1
EU776860.1.1353	1	0.171228	GCF_000270305.1
EU776871.1.1366	1	0.111045	GCF_004535825.1
EU776878.1.1392	1	0.356076	GCF_000829905.1
EU776882.1.1288	1	0.107935	GCF_014385005.1
EU776892.1.1385	1	0.191462	GCA_000513555.1
EU776894.1.1287	1	0.11235	GCA_900045905.1
EU776898.1.1395	1	0.177649	GCF_003363435.1
EU776908.1.1289	8	0.123383	GCA_025148785.1
EU776909.1.1384	1	0.148882	GCF_900103815.1
EU776910.1.1203	1	0.407466	GCF_000949455.1
EU776915.1.1286	3	0.155825	GCF_012922555.1
EU776917.1.1271	1	0.165043	GCA_900547775.1
EU776923.1.1396	1	0.105988	GCA_910575245.1
EU776924.1.1391	1	0.177649	GCF_003363435.1
EU776928.1.1344	1	0.166584	GCA_000752215.1
EU776952.1.1270	3	0.110205	GCA_018228685.1
EU776954.1.1339	4	0.072426	GCF_004295125.1
EU776956.1.1285	1	0.110826	GCA_002841545.1
EU777037.1.1289	1	0.063882	GCF_018917935.1
EU777041.1.1378	1	0.207049	GCA_022009755.1
EU777055.1.1312	1	0.057161	GCF_000577815.1
EU777057.1.1265	1	0.163493	GCA_014385095.1
EU777088.1.1267	1	0.135137	GCA_002841545.1
EU777112.1.1269	1	0.169322	GCF_003481705.1
EU777128.1.1262	1	0.068343	GCF_000765235.1
EU777133.1.1263	1	0.209166	GCA_015067305.1
EU777152.1.1277	1	0.059606	GCF_018917935.1
EU777154.1.1343	1	0.257524	GCA_002840285.1
EU777179.1.1274	1	0.11516	GCA_020859985.1
EU777185.1.1256	1	0.11516	GCA_020859985.1
EU777199.1.1264	1	0.114685	GCA_025150425.1
EU777207.1.1373	1	0.456673	GCA_000961765.1
EU777216.1.1325	1	0.10994	GCA_916988195.3
EU777225.1.1256	1	0.11516	GCA_020859985.1
EU777241.1.1258	1	0.068262	GCA_916988195.3
EU777245.1.1203	1	0.147582	GCF_024499055.1
EU777256.1.1256	3	0.139276	GCA_018228685.1
EU777259.1.1267	1	0.331127	GCA_023458035.1
EU777266.1.1327	1	0.037279	GCA_916988195.3
EU777284.1.1362	1	0.136602	GCA_900315985.1
EU777322.1.1266	3	0.126942	GCA_017569285.1
EU777324.1.1329	3	0.112445	GCA_900199405.1
EU777340.1.1391	1	0.113063	GCF_003460605.1
EU777343.1.1362	1	0.107935	GCF_014385005.1
EU777357.1.1390	1	0.043334	GCA_025148125.1
EU777365.1.1388	1	0.235722	GCF_014384905.1
EU777366.1.1347	1	0.159257	GCA_900540345.1
EU777376.1.1286	1	0.114457	GCF_000210095.1
EU777397.1.1322	1	0.134464	GCF_000173975.1
EU777398.1.1280	1	0.493829	GCF_000829905.1
EU777416.1.1306	1	0.296057	GCA_025148785.1
EU777432.1.1290	1	0.10994	GCA_916988195.3
EU777439.1.1288	1	0.117034	GCA_002841545.1
EU777452.1.1297	1	0.136831	GCA_902784545.1
EU777453.1.1389	1	0.050388	GCA_025148125.1
EU777463.1.1283	3	0.400863	GCA_900199405.1
EU777464.1.1295	1	0.163898	GCA_900751685.1
EU777468.1.1373	1	0.157175	GCA_021201135.1
EU777478.1.1389	1	0.044423	GCF_000173975.1
EU777480.1.1286	1	0.10994	GCA_916988195.3
EU777482.1.1269	1	0.125514	GCA_944391805.1
EU777500.1.1271	3	0.265784	GCA_017569285.1
EU777503.1.1389	1	0.039445	GCF_001487165.1
EU777506.1.1261	1	0.10994	GCA_916988195.3
EU777507.1.1377	1	0.117338	GCF_018917935.1
EU777512.1.1293	1	0.067043	GCA_000687695.1
EU777514.1.1400	3	0.062549	GCA_018228685.1
EU777515.1.1408	3	0.188403	GCA_900199405.1
EU777517.1.1395	1	0.137146	GCA_900543205.1
EU777520.1.1299	1	0.264492	GCA_023458035.1
EU777523.1.1255	1	0.063565	GCF_000820765.1
EU777529.1.1379	1	0.072003	GCF_018789675.1
EU777540.1.1327	4	0.036647	GCF_900106585.1
EU777542.1.1389	1	0.108353	GCF_000173975.1
EU777545.1.1391	1	0.124897	GCA_902765005.1
EU777547.1.1382	1	0.10994	GCA_916988195.3
EU777552.1.1387	1	0.122517	GCA_001604135.1
EU777555.1.1376	1	0.10994	GCA_916988195.3
EU777558.1.1357	1	0.120385	GCA_016286585.1
EU777559.1.1291	1	0.114231	GCA_900751685.1
EU777561.1.1390	1	0.062291	GCF_014297355.1
EU777577.1.1211	1	0.107121	GCA_000285855.2
EU777596.1.1411	1	0.114685	GCA_025150425.1
EU777598.1.1293	1	0.136602	GCA_900315985.1
EU777612.1.1274	1	0.107825	GCA_016287765.1
EU777620.1.1291	1	0.076262	GCF_000173975.1
EU777627.1.1366	1	0.144014	GCA_023459495.1
EU777628.1.1371	1	0.131305	GCF_000712055.1
EU777635.1.1397	1	0.135137	GCA_002841545.1
EU777642.1.1352	1	0.224536	GCA_910583925.1
EU777644.1.1387	1	0.11516	GCA_020859985.1
